temperature,humidity,wind_speed,rainfall,drought_index,ndvi,slope,elevation,distance_to_road,population_density,month,is_dry_season,fire_occurred
23.6,35.27,20.18,3.836,761.8,0.1135,3.7,1123.3,22.19,231.7,1,0,1
19.5,17.83,16.66,2.873,634.4,0.2213,40.14,1202.5,22.52,356.6,10,0,0
39.01,60.92,24.6,2.237,463.0,0.1737,39.11,732.9,19.57,184.6,9,1,1
22.49,63.01,28.64,0.748,517.4,0.2918,44.91,980.5,21.99,273.9,11,0,1
19.83,65.12,11.92,1.053,744.4,0.18,26.33,1516.4,2.73,151.7,10,0,1
28.99,32.73,39.7,0.936,342.7,0.6535,33.8,1471.5,21.83,176.8,8,1,1
14.93,11.28,24.32,0.438,265.1,0.1232,9.12,1609.3,4.19,306.9,5,1,1
38.08,92.03,16.7,1.055,781.8,0.5942,30.04,912.0,10.25,245.2,3,0,0
12.61,31.33,5.34,0.046,690.8,0.2126,29.24,823.8,28.29,361.5,4,1,1
44.54,67.46,11.94,0.212,258.4,0.8561,40.55,1548.5,15.14,280.3,3,0,1
37.03,70.06,47.46,3.265,371.0,0.8465,37.39,375.5,29.03,401.8,10,0,1
16.96,61.85,15.25,2.09,332.1,0.2804,42.23,669.9,2.76,221.7,8,1,0
10.19,36.6,8.44,0.825,119.3,0.5915,39.1,153.2,14.38,245.5,5,1,0
38.54,33.04,23.03,1.092,766.3,0.1224,39.09,227.9,1.97,335.0,11,0,1
34.74,60.8,15.35,0.693,323.4,0.8454,2.87,646.3,18.94,110.6,8,1,0
35.52,83.62,1.76,2.025,700.3,0.5184,38.07,97.8,2.45,193.0,1,0,0
36.99,90.47,16.16,2.3,151.5,0.1346,27.34,651.3,5.34,312.4,9,1,1
12.59,19.0,27.21,2.161,438.3,0.374,17.12,1654.7,7.84,14.4,11,0,1
22.55,23.16,27.59,1.924,19.2,0.1615,2.54,199.7,22.49,218.5,10,0,0
14.06,90.3,17.83,0.343,611.4,0.4144,30.5,1120.0,5.0,299.4,3,0,1
40.21,72.61,22.37,0.619,464.7,0.6359,14.77,2287.1,25.41,483.7,1,0,1
31.82,85.05,48.28,0.952,500.5,0.4759,21.05,1988.6,4.04,438.5,3,0,1
21.58,27.22,18.87,0.602,41.4,0.407,30.68,798.3,1.15,140.4,2,0,0
12.22,59.94,12.91,2.109,168.8,0.1953,41.03,2315.8,11.91,253.6,7,1,0
20.88,69.6,12.17,0.599,59.5,0.296,37.14,857.6,29.39,28.2,10,0,0
21.38,67.81,22.89,0.223,231.1,0.1801,20.28,227.7,3.4,120.4,4,1,1
35.54,44.69,37.98,0.764,502.0,0.746,17.45,2485.4,3.14,387.4,7,1,1
32.31,11.31,10.3,5.862,452.9,0.2082,10.79,2181.6,22.56,61.7,3,0,1
41.05,59.55,35.46,0.384,489.7,0.5763,16.76,1191.5,9.43,128.8,6,1,1
26.53,31.51,1.06,1.421,439.4,0.3742,5.0,1682.6,21.55,472.0,7,1,1
14.19,48.27,20.95,0.851,218.4,0.2808,43.7,1694.5,6.08,411.9,7,1,1
34.96,91.39,38.79,0.111,195.6,0.6116,25.83,526.5,13.86,390.9,5,1,1
36.63,43.92,16.94,1.004,109.6,0.4656,5.75,540.1,8.03,432.3,6,1,1
29.64,81.38,28.19,1.817,679.3,0.4201,15.88,1200.5,13.6,374.8,3,0,1
36.98,26.03,10.25,1.08,493.2,0.5743,24.62,2283.4,23.1,60.3,12,0,1
27.28,67.16,37.1,3.085,149.2,0.493,23.98,74.5,22.88,258.3,4,1,0
28.3,93.05,2.61,0.511,141.8,0.3428,1.6,1967.1,15.52,222.1,11,0,0
24.96,18.66,42.63,0.135,698.4,0.5472,42.79,190.9,27.86,155.6,6,1,1
10.89,10.71,9.91,4.137,594.2,0.6356,12.39,1221.6,7.99,417.0,3,0,0
13.78,46.85,43.72,0.713,527.5,0.1214,0.73,1612.8,7.29,232.1,7,1,1
11.1,17.87,17.63,1.288,325.5,0.4727,3.44,1732.6,18.45,30.1,3,0,0
32.27,73.61,36.13,2.355,209.6,0.1461,26.11,193.3,18.68,137.5,9,1,0
21.0,87.74,15.96,0.588,783.6,0.2491,6.2,1075.6,1.49,114.3,4,1,0
27.8,46.89,45.3,1.889,637.8,0.5484,1.88,1480.4,18.27,443.7,2,0,1
41.76,31.99,6.33,0.218,241.4,0.793,17.08,211.8,11.3,323.7,6,1,1
18.73,46.92,8.93,0.516,678.1,0.8062,28.02,381.0,22.45,280.2,9,1,0
24.36,71.49,24.65,0.234,607.1,0.156,5.03,1675.9,24.26,253.3,10,0,1
36.44,10.77,4.1,2.501,237.7,0.4353,14.1,1328.0,16.61,325.1,10,0,1
18.01,60.1,9.8,0.378,341.2,0.5664,18.8,446.5,0.15,377.4,2,0,0
12.69,62.13,47.19,1.896,148.8,0.2177,7.18,1361.3,19.13,277.2,4,1,0
20.14,64.2,48.82,4.305,88.8,0.7123,22.77,2286.1,22.49,469.1,5,1,0
15.64,30.57,18.81,1.125,578.2,0.6954,3.83,88.2,7.54,488.4,9,1,1
42.54,70.69,46.16,1.165,214.0,0.8227,2.09,1624.5,13.99,497.7,7,1,1
38.28,17.77,27.24,0.927,656.0,0.1068,23.39,230.4,28.98,334.7,5,1,1
32.17,26.94,13.49,0.592,796.5,0.2733,11.16,65.8,9.01,466.3,6,1,1
40.5,84.58,35.12,0.968,61.3,0.7617,4.29,419.1,6.77,202.2,9,1,0
38.13,72.79,32.95,1.385,378.4,0.6365,19.08,1086.1,6.4,429.8,4,1,1
16.53,11.17,49.46,6.402,641.7,0.8155,41.18,2015.7,16.81,454.6,2,0,1
41.24,31.11,13.25,4.165,631.2,0.1457,32.59,740.4,28.5,452.1,5,1,1
28.88,28.22,33.6,2.972,608.0,0.5776,36.7,1582.9,18.3,415.4,7,1,1
38.26,33.02,2.6,3.299,279.2,0.5552,39.24,1057.3,9.17,203.3,12,0,1
41.36,31.04,5.68,0.946,363.1,0.1285,43.77,624.1,19.19,79.5,4,1,1
21.13,15.31,0.2,1.607,476.0,0.5108,34.35,1309.9,18.78,167.0,12,0,1
13.85,49.01,49.97,3.382,779.2,0.5876,27.38,2003.8,17.95,383.6,1,0,1
17.98,72.28,40.11,0.749,262.0,0.253,16.44,2089.6,4.87,116.4,8,1,1
24.95,61.57,39.34,4.896,738.5,0.3187,8.17,2124.0,19.07,239.1,5,1,1
38.63,67.19,25.49,0.806,215.5,0.6123,30.9,879.5,12.96,282.7,10,0,1
40.13,16.9,15.0,1.379,791.3,0.4746,44.77,1994.0,0.66,301.9,2,0,1
10.24,90.88,7.56,1.856,536.2,0.7864,21.03,569.8,16.24,467.9,3,0,0
27.88,81.27,14.23,4.511,370.8,0.3739,32.57,1859.1,29.68,330.7,12,0,0
24.61,78.43,18.8,0.421,490.7,0.3133,22.28,2373.5,10.56,393.1,10,0,1
17.77,79.95,37.82,2.056,218.0,0.8879,19.44,83.7,28.97,290.9,12,0,0
14.2,89.28,26.98,1.104,219.3,0.8289,18.46,1128.9,2.98,416.8,10,0,0
21.82,56.26,3.87,0.469,90.8,0.1232,22.71,1637.0,22.0,131.8,5,1,0
43.0,27.02,0.9,2.248,91.2,0.7166,16.51,1769.4,3.52,104.9,11,0,0
21.31,62.43,5.12,1.205,278.1,0.1883,33.69,481.4,8.28,463.2,4,1,0
28.16,73.14,20.52,1.623,610.3,0.122,39.34,2431.8,17.17,346.7,9,1,1
34.61,72.72,46.66,0.585,486.4,0.319,39.73,1557.4,17.82,335.8,9,1,1
22.73,54.32,31.87,0.985,82.1,0.3155,10.25,452.6,23.28,233.6,8,1,1
44.01,15.82,40.09,1.441,681.8,0.7555,40.32,100.3,18.5,188.3,2,0,1
43.69,41.54,23.32,0.779,481.1,0.6685,15.37,1969.0,17.85,277.8,5,1,1
18.81,88.27,18.08,0.332,768.7,0.8853,13.92,245.3,27.38,60.3,8,1,0
27.4,59.68,5.42,4.891,536.1,0.6692,32.7,395.6,13.62,227.4,8,1,1
20.53,55.76,43.8,1.075,140.1,0.4346,13.71,1458.3,6.84,227.7,7,1,1
19.97,32.85,39.16,1.986,379.0,0.6591,2.38,1528.6,4.94,269.2,4,1,1
11.29,41.32,8.41,0.794,518.8,0.8996,16.81,1732.9,12.06,317.3,3,0,0
31.33,86.1,25.61,0.658,22.6,0.6681,32.47,1014.1,21.41,478.7,8,1,1
27.59,66.65,24.37,0.784,11.9,0.7093,14.71,1946.1,1.37,326.1,8,1,0
11.8,76.93,31.25,0.789,103.5,0.8507,28.33,2437.2,3.96,441.9,10,0,0
19.75,48.62,47.31,1.178,201.3,0.1909,29.71,714.2,3.27,278.2,5,1,1
41.79,63.57,28.99,1.176,343.6,0.6638,33.02,1772.4,17.6,313.5,3,0,1
18.38,31.11,27.01,1.031,390.0,0.7806,40.37,2324.7,7.36,34.9,5,1,1
15.07,69.96,2.52,0.217,110.4,0.8635,19.47,1731.4,5.07,66.6,4,1,0
27.13,46.35,3.15,1.028,538.7,0.2688,7.49,1718.7,17.82,289.8,8,1,1
44.5,47.62,9.37,0.278,476.9,0.5031,14.35,598.2,22.86,197.9,2,0,1
18.47,65.19,1.62,0.202,235.6,0.6444,19.45,1361.1,10.03,399.4,11,0,0
33.52,89.58,37.17,4.047,10.9,0.298,32.13,1428.2,17.39,271.6,8,1,1
36.66,15.44,36.17,1.393,62.1,0.5804,0.59,1765.3,3.03,441.1,10,0,1
18.32,80.1,6.8,1.616,313.4,0.3061,14.21,2492.2,28.06,486.2,6,1,0
35.49,34.85,41.8,0.771,123.2,0.3668,35.09,132.4,10.17,73.8,4,1,1
22.87,47.73,7.74,3.595,301.5,0.4532,30.19,209.8,29.93,197.4,11,0,0
32.13,11.86,15.06,1.524,502.5,0.5234,32.93,241.0,29.36,332.5,3,0,1
32.17,35.59,12.45,2.199,437.8,0.4595,36.53,1870.3,23.39,152.7,10,0,1
28.75,52.72,18.62,0.69,184.9,0.4946,35.25,384.1,0.7,133.5,5,1,1
13.16,14.77,12.73,4.829,275.1,0.3389,30.7,1575.0,16.35,406.9,6,1,1
39.24,51.74,24.45,2.576,491.2,0.2272,19.78,845.4,2.7,490.2,1,0,0
21.23,88.8,20.37,2.886,688.7,0.1379,44.26,1170.4,26.86,386.9,1,0,0
16.53,18.96,49.33,0.283,602.6,0.2568,25.61,578.4,23.71,261.8,11,0,1
11.43,74.98,2.8,0.474,442.7,0.5656,9.12,2172.0,29.17,221.3,10,0,0
30.68,44.82,7.11,0.505,289.8,0.7289,13.18,1486.1,18.29,269.8,3,0,0
33.71,65.69,2.64,0.474,292.0,0.2354,31.21,2364.2,15.71,231.4,2,0,0
10.58,32.12,31.29,2.901,703.5,0.1868,41.61,1457.8,15.62,251.4,12,0,0
27.92,23.56,2.73,0.049,31.4,0.6994,8.04,353.6,11.65,101.7,1,0,1
17.93,23.64,41.82,0.119,790.4,0.3441,3.71,468.6,14.11,451.9,11,0,1
32.58,15.99,25.6,0.48,531.5,0.8612,39.67,2473.2,19.1,377.3,8,1,1
16.1,25.78,26.35,0.334,544.9,0.6715,41.19,1827.6,28.0,340.5,12,0,1
34.18,66.46,28.08,0.396,30.4,0.3614,12.44,170.7,17.92,475.0,1,0,0
23.54,84.94,8.54,2.399,484.4,0.3316,16.98,1774.3,25.73,142.2,10,0,0
42.79,79.2,9.88,1.242,387.8,0.519,29.71,1059.8,25.9,40.6,8,1,1
14.81,68.24,15.94,0.009,84.6,0.1633,14.85,802.7,15.61,413.1,5,1,0
21.94,19.39,29.67,0.841,222.3,0.1941,39.47,427.4,10.49,499.2,4,1,1
13.97,34.58,10.51,0.786,712.3,0.2407,4.84,2107.8,19.22,289.2,8,1,1
42.36,36.33,5.82,0.181,440.0,0.7198,1.71,206.4,13.43,29.4,8,1,1
40.71,31.25,48.51,1.691,330.7,0.5111,9.38,760.1,2.54,390.2,11,0,1
19.03,53.78,1.1,1.816,58.1,0.1085,12.87,800.6,11.4,36.9,8,1,0
33.1,55.52,40.13,1.914,571.3,0.6388,5.08,444.2,29.82,270.0,3,0,1
38.6,40.34,39.4,1.956,562.3,0.439,2.96,1295.1,1.55,138.8,12,0,1
29.43,40.07,14.86,0.0,491.2,0.5087,34.0,78.7,20.93,457.5,8,1,1
28.54,80.43,6.78,4.616,408.2,0.2713,7.39,787.4,25.25,225.7,1,0,0
18.46,77.09,7.28,2.525,347.0,0.5414,41.13,2337.4,19.5,449.2,4,1,0
13.26,36.16,34.87,3.515,474.6,0.8833,16.56,810.8,17.14,149.5,5,1,1
41.4,87.67,32.14,0.024,186.7,0.1588,30.18,933.1,21.26,193.7,6,1,1
41.51,90.99,39.14,4.074,753.0,0.3271,10.14,1209.3,12.94,473.6,5,1,1
32.16,37.77,46.87,2.489,471.0,0.2944,10.81,1426.1,2.83,100.7,5,1,1
21.87,40.13,34.6,2.723,249.0,0.2988,25.86,2031.3,28.87,289.3,5,1,0
22.22,52.98,7.79,0.147,359.7,0.403,25.23,516.3,13.03,194.3,9,1,1
35.41,90.0,12.17,2.014,644.5,0.7545,34.59,2185.8,20.0,387.1,10,0,0
41.4,84.49,42.11,4.825,129.3,0.8303,34.1,1906.0,15.99,64.6,10,0,1
41.05,18.72,10.47,1.702,234.3,0.2618,30.18,1820.5,1.73,218.6,3,0,1
37.3,43.38,3.63,1.268,543.6,0.5344,20.21,262.7,28.59,349.5,2,0,0
32.47,57.04,35.16,4.368,252.4,0.6095,40.08,103.0,23.8,203.5,10,0,1
12.94,52.77,20.13,0.878,634.0,0.5175,28.02,1505.3,4.56,29.3,2,0,0
15.66,26.48,46.0,1.372,104.4,0.4473,44.56,2164.7,29.45,352.6,8,1,1
41.45,83.0,32.51,0.97,610.1,0.2536,36.87,1481.9,22.13,251.6,5,1,1
31.23,67.54,4.52,4.051,54.7,0.4906,1.99,572.4,14.22,5.7,5,1,0
10.32,81.22,47.39,0.119,10.1,0.421,14.43,271.8,18.38,306.3,6,1,0
13.55,82.99,12.93,1.043,718.6,0.7365,25.73,1764.0,3.29,459.9,9,1,1
33.22,73.61,16.86,1.742,465.1,0.7109,32.47,1818.3,16.86,55.5,7,1,1
10.18,47.33,20.11,2.355,281.5,0.2072,24.77,472.7,2.3,295.3,5,1,0
15.63,61.9,2.56,1.312,186.1,0.1708,35.38,119.1,16.39,364.3,5,1,1
29.21,23.63,24.83,3.594,493.5,0.8265,12.72,1050.3,16.63,35.4,10,0,1
34.22,67.26,6.17,4.271,407.2,0.5284,8.28,1477.7,26.25,11.3,9,1,0
32.82,25.24,20.05,0.1,793.3,0.7862,2.43,1779.7,21.78,232.1,9,1,1
17.85,68.99,17.54,0.772,786.6,0.1465,25.8,2034.4,7.56,395.6,2,0,1
34.93,29.52,38.64,0.036,508.0,0.5212,30.99,1545.8,26.66,80.4,7,1,1
18.3,19.99,40.16,0.599,354.3,0.5315,14.68,321.7,17.24,418.3,10,0,0
21.39,24.05,7.67,1.155,392.9,0.7886,27.61,1722.3,18.23,328.3,1,0,1
36.13,10.17,18.33,3.625,546.0,0.1781,2.35,2461.2,5.15,166.1,4,1,1
32.74,71.09,18.67,2.812,81.3,0.2924,4.47,2268.7,25.75,257.9,2,0,1
39.72,72.25,7.57,0.205,262.7,0.4252,31.58,2185.6,27.94,482.8,10,0,1
33.02,53.77,39.92,0.146,60.2,0.7927,16.56,790.3,23.27,108.2,9,1,1
29.89,23.72,35.36,1.335,58.7,0.8511,30.21,1889.4,28.23,249.8,12,0,1
13.28,17.1,9.52,1.139,156.7,0.8942,37.43,2135.2,9.14,312.2,6,1,1
22.87,11.63,18.34,0.465,388.2,0.8674,38.37,1711.9,25.85,69.0,4,1,1
19.28,24.09,5.29,3.446,627.8,0.1048,7.75,663.9,14.72,21.8,3,0,0
18.54,85.72,31.41,3.933,388.4,0.1382,21.88,2386.9,5.0,6.7,4,1,0
44.06,30.53,6.07,0.773,268.4,0.2181,33.03,1154.5,20.1,162.3,2,0,1
23.76,40.11,49.3,3.315,65.9,0.3791,34.83,368.0,20.56,37.0,5,1,1
41.22,18.95,39.03,0.727,440.2,0.7639,35.31,319.0,8.68,401.9,9,1,1
32.09,28.9,19.51,2.002,217.0,0.8141,10.27,1636.4,0.92,498.7,6,1,1
37.82,54.13,28.93,0.969,491.9,0.2495,8.66,1122.4,6.08,30.7,2,0,1
27.59,61.66,45.57,0.196,781.8,0.5957,26.55,281.5,12.05,216.4,6,1,1
30.19,30.85,27.7,3.945,89.1,0.8339,33.35,1863.9,5.11,12.9,9,1,1
27.24,14.91,8.72,0.908,169.7,0.471,14.36,2008.3,5.9,67.0,4,1,1
16.83,43.24,18.94,1.989,378.5,0.1828,4.71,1827.3,11.8,161.5,1,0,1
35.29,29.91,42.16,0.686,774.9,0.4663,32.25,545.5,28.86,196.8,2,0,1
19.83,28.66,32.21,0.029,617.4,0.4006,13.49,1739.9,22.95,469.9,5,1,1
10.85,91.59,32.54,0.159,718.6,0.5621,7.49,76.3,9.66,197.9,10,0,1
32.59,62.39,43.34,1.028,267.0,0.4509,6.65,797.5,28.55,248.1,7,1,1
16.2,57.33,44.7,1.757,793.6,0.1139,14.17,1027.1,19.4,122.8,8,1,1
42.92,45.34,45.99,0.611,82.3,0.8952,26.67,2096.4,13.72,0.1,3,0,1
43.39,46.46,4.74,1.784,42.4,0.5348,16.13,1006.5,14.1,449.7,9,1,0
42.02,55.98,27.21,1.799,684.5,0.4789,0.93,77.6,12.38,40.9,2,0,1
22.96,69.2,37.03,1.826,741.8,0.8637,4.36,913.2,7.07,482.1,4,1,1
10.54,69.68,37.85,1.017,72.5,0.2247,13.07,1272.4,11.66,65.4,4,1,0
42.49,24.59,30.34,3.696,90.7,0.2514,29.69,2375.1,15.88,302.4,6,1,1
24.99,52.51,8.34,1.008,26.5,0.7464,4.43,2355.5,15.89,499.7,10,0,0
43.83,45.02,39.87,0.897,83.6,0.3087,25.23,493.1,22.88,69.2,6,1,1
43.73,83.99,36.01,0.334,167.5,0.7394,5.39,503.6,10.83,212.0,3,0,1
39.86,63.67,4.31,0.552,776.1,0.3172,9.52,450.3,21.53,390.2,9,1,1
20.31,55.26,23.19,0.065,534.3,0.1266,7.75,1982.9,17.38,16.1,11,0,1
23.48,19.81,8.7,1.506,622.8,0.5136,3.03,64.8,28.86,344.9,5,1,0
39.79,61.48,16.87,0.429,620.9,0.2573,30.21,361.6,11.62,40.2,2,0,0
21.09,19.96,0.9,0.544,428.1,0.7063,20.85,1368.0,27.05,118.3,6,1,1
15.93,38.66,20.02,2.21,638.0,0.613,37.4,656.5,24.64,80.0,3,0,0
29.49,22.14,27.49,0.595,476.6,0.8389,4.45,276.3,19.17,453.7,8,1,1
42.77,68.83,30.98,0.416,251.6,0.7264,6.51,931.7,19.67,90.2,3,0,1
34.36,27.53,33.17,0.278,448.9,0.2446,13.79,721.8,2.63,20.2,5,1,1
29.95,43.31,41.81,2.237,426.8,0.7401,34.46,1302.2,28.51,293.8,4,1,1
13.4,86.13,10.77,0.208,658.8,0.6134,13.76,2449.1,3.3,173.1,4,1,1
31.53,27.37,6.02,0.907,785.4,0.6352,18.38,354.5,16.94,202.9,2,0,1
44.65,53.16,42.58,1.061,328.8,0.7658,13.57,963.2,9.97,59.5,8,1,1
14.9,45.64,7.83,1.744,610.7,0.5591,3.61,2333.4,12.95,374.1,3,0,1
28.14,11.54,48.74,1.505,79.8,0.4728,42.27,2198.3,18.34,300.8,4,1,1
40.71,77.38,42.13,2.497,621.5,0.6093,24.68,1016.0,27.27,182.1,6,1,1
35.93,15.87,25.04,0.069,297.1,0.3384,35.45,1762.4,13.78,85.8,9,1,1
34.4,50.31,49.07,0.527,31.5,0.2461,29.63,265.2,29.63,296.7,12,0,0
34.59,57.66,4.87,0.493,290.6,0.5933,23.14,1795.7,17.83,389.3,4,1,1
22.58,63.42,15.15,0.237,488.5,0.2871,4.04,2433.5,4.9,156.2,3,0,0
20.28,68.53,31.91,0.512,95.4,0.1639,28.92,1366.8,5.78,12.9,5,1,1
38.33,31.53,17.5,0.556,739.2,0.1004,6.99,1271.3,21.51,107.2,9,1,1
38.35,10.85,46.42,1.107,62.1,0.5867,18.65,508.9,1.61,341.2,1,0,1
40.35,71.49,3.28,1.635,744.0,0.3897,28.31,1602.8,14.46,494.5,5,1,1
41.96,55.53,27.47,0.72,565.7,0.7018,35.2,1496.6,4.53,6.7,11,0,1
27.9,81.07,29.54,1.907,263.8,0.4001,30.83,1647.2,13.05,153.1,4,1,0
27.55,79.82,32.64,0.615,312.6,0.4888,30.22,113.9,22.52,31.0,5,1,1
37.94,81.68,12.78,0.514,592.6,0.4257,6.71,1394.4,13.82,158.2,7,1,1
32.75,51.23,18.23,1.169,481.2,0.6205,15.58,1507.6,4.99,203.0,7,1,1
34.57,38.36,42.18,0.036,537.3,0.3849,1.93,558.4,7.63,460.4,7,1,1
37.85,77.28,9.75,0.125,311.3,0.871,32.38,560.4,11.09,40.3,1,0,1
41.15,48.36,41.34,0.812,390.3,0.8489,42.87,726.7,2.18,388.6,9,1,1
21.83,25.59,28.13,4.295,791.9,0.7784,11.88,1793.7,17.57,197.8,7,1,1
23.15,82.67,38.11,1.918,171.1,0.8362,3.95,1535.4,18.27,405.6,4,1,0
13.29,85.02,35.68,0.138,334.3,0.4593,21.4,2122.1,1.96,256.7,4,1,0
30.24,49.64,10.38,2.809,233.5,0.5291,38.55,774.4,12.13,19.6,2,0,1
11.26,16.43,28.44,1.977,612.1,0.6937,24.84,2284.6,12.48,473.1,6,1,1
26.3,42.97,43.39,1.416,611.2,0.6569,2.1,1872.1,10.08,41.4,12,0,1
28.99,78.3,21.61,2.575,234.0,0.8125,43.84,1017.8,16.78,298.8,10,0,0
20.03,86.65,48.33,0.777,65.1,0.6731,37.29,283.4,10.44,438.8,3,0,0
30.68,27.3,22.61,0.376,9.1,0.8983,5.92,679.6,12.55,39.9,1,0,1
11.07,15.69,7.14,1.076,342.0,0.3788,41.48,2394.1,23.95,276.9,5,1,0
11.31,84.57,19.47,1.194,328.3,0.7664,20.28,810.4,4.95,412.1,6,1,0
